title,company,location,city,state,zip_code,date_posted,salary,description,url,apply_url,scraped_at,source_site,job_board_type,setting_type,job_type
Licensed Practical Nurse (LPN),Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:32.240861,Autumn Lake,apploi,snf,
Registered Nurse (RN),Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:33.098834,Autumn Lake,apploi,snf,
Registered Nurse (RN) Supervisor,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:33.913750,Autumn Lake,apploi,snf,
Geriatric Nurse Assistant (GNA),Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:34.737101,Autumn Lake,apploi,snf,
RN/LPN Nurse Weekend Program,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:35.538884,Autumn Lake,apploi,snf,
Nurse Supervisor,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:36.314935,Autumn Lake,apploi,snf,
Registered Nurse (RN) Weekend Supervisor,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:38.747666,Autumn Lake,apploi,snf,
Geriatric Nurse Assistant (GNA) WEEKEND OPTION PROGRAM,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:39.531568,Autumn Lake,apploi,snf,
Nurse Unit Manager,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:40.306472,Autumn Lake,apploi,snf,
Administrative Clinical Nurse,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:41.138931,Autumn Lake,apploi,snf,
Weekend Nurse LPN,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:54.890967,Autumn Lake,apploi,snf,
Weekend Geriatric Nurse Assistant (GNA),Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:55.652549,Autumn Lake,apploi,snf,
Licensed Practical Nurse (LPN) 7-3,Autumn Lake,,,CT,,,,,,,2025-07-22T15:11:56.590601,Autumn Lake,apploi,snf,
